Langudge - Language (lang-dudg)
Languge - Another word for "language" (lang-gauge)
Mispelling - Misspelling (mice-pelling)
Sprона - Name of the language (spro-ha)
Hecxt - Text (hexd)
Coicev - Voice (coiced-v (vee))
Ckhreateing - Creating (kre-at-e-ing)
Owld - Word (owl-ed)
Uigio - No (ui-geo)
Czhaep - Yes (ch-zep)
Eotea - Hi (eo-tea)
Gyues - Guys (ja-y-s)
Kasilzangeil - Is whats wrong with life (ka-sil-zan-geil)
Teh - The (te-hh)
Kamd - And (c-and)
Kol - Ok (k-ol)
Zehk - Good (zeh-k)
Khez - Bad (c-e-z)
Eiz - Is (i-z)
Hoiud - Food (hoy-oud)
Ungilsh - English (un-glish)
Giust - Just (gi-ust)
Btrez - Learn (bee-trez)
Esnat - Ant (es-nat)
Tata - At (ta-ta)
Lixinuc - Linux (li-x-nu-c)
Wndoisn - Windows (wi-nd-o-sin)
Ginineuy - Genuinely (gi-ni-ine-y)
Gex - Or (gex)
Kyebdraba - Keyboard (kye-br-dra-ba)
Lviwstcko - Livestock (liv-st-ck-o)
Pictrue - Picture (pic-true)
Wkew - Weak (w-kew)
Ahet - Hate (a-het)
Cadana - Canada (Cad-ana)
Yonge - Long (yo-ng-e)
Gmaeg - Game (g-may-g)
Scleen - Screen (s-lke-een)
Progman - Program (prog-man)
Mesag - Message (me-sa-g)
Tacih - Talking (tac-ih)
Lfie - Life (l-fie)
Dehat - Death (de-hat)
Cpoiuemtr - Computer (c-po-iem-tr)
Mboalix - Mobile (m-boa-lix)
Ineernt - Internet (in-eer-nt)
Wetbsie - Website (wetb-sie)
Sfowier - Software (so-fwi-er)
Hradware - Hardware (hrad-ware)
Aciplux - Application (a-ci-plux)
Dtaa - Data (d-taa)
Infromashun - Information (in-fro-mash-un)
Neotwkr - Network (ne-otw-kr)
